suite,system,case_id,fault_type,ground_truth,prediction_top1,rank_of_ground_truth,diagnostic_path,candidate_pool_contains_gt,top_candidates,status,available_modalities,short_reason,error_type,suspected_failure_mode
RE2,Sock Shop,RE2-SS/orders_delay/1,delay,orders,shipping,5,shortcut,1,"[""shipping"", ""user"", ""carts"", ""queue-master"", ""orders""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected a network/latency symptom without full trace-direction checks,missing_trace_direction,IVD shortcut over-trusted propagation surface signals
RE2,Sock Shop,RE2-SS/orders_delay/2,delay,orders,payment,2,shortcut,1,"[""payment"", ""orders"", ""user"", ""carts"", ""queue-master""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected a network/latency symptom without full trace-direction checks,missing_trace_direction,IVD shortcut over-trusted propagation surface signals
RE2,Sock Shop,RE2-SS/orders_delay/3,delay,orders,shipping,,shortcut,0,"[""shipping"", ""carts"", ""queue-master"", ""front-end"", ""rabbitmq""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Sock Shop,RE2-SS/orders_disk/1,disk,orders,carts,4,shortcut,1,"[""carts"", ""shipping"", ""queue-master"", ""orders"", ""carts-db""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Sock Shop,RE2-SS/orders_socket/1,socket,orders,carts,4,shortcut,1,"[""carts"", ""queue-master"", ""catalogue"", ""orders"", ""shipping""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Sock Shop,RE2-SS/orders_socket/2,socket,orders,,,failed,0,[],,metrics/logs/traces,case failed before a reliable top-1 decision,parser_or_adapter_issue,execution/parser failure in compact result
RE2,Sock Shop,RE2-SS/payment_delay/1,delay,payment,queue-master,,shortcut,0,"[""queue-master"", ""shipping"", ""carts"", ""front-end"", ""user""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Sock Shop,RE2-SS/payment_delay/2,delay,payment,orders,,shortcut,0,"[""orders"", ""shipping"", ""carts"", ""queue-master"", ""rabbitmq""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Sock Shop,RE2-SS/payment_delay/3,delay,payment,queue-master,,shortcut,0,"[""queue-master"", ""carts"", ""rabbitmq"", ""front-end"", ""user""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Sock Shop,RE2-SS/payment_loss/2,loss,payment,orders,,shortcut,0,"[""orders"", ""queue-master"", ""front-end"", ""carts"", ""user""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Sock Shop,RE2-SS/payment_loss/3,loss,payment,orders,,shortcut,0,"[""orders"", ""front-end"", ""queue-master"", ""carts""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Sock Shop,RE2-SS/payment_socket/3,socket,payment,orders,2,shortcut,1,"[""orders"", ""payment"", ""shipping"", ""queue-master"", ""front-end""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Sock Shop,RE2-SS/user_delay/1,delay,user,queue-master,,shortcut,0,"[""queue-master"", ""carts"", ""rabbitmq"", ""orders"", ""shipping""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Sock Shop,RE2-SS/user_loss/3,loss,user,orders,2,shortcut,1,"[""orders"", ""user"", ""front-end"", ""queue-master"", ""carts""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected a network/latency symptom without full trace-direction checks,missing_trace_direction,IVD shortcut over-trusted propagation surface signals
RE2,Sock Shop,RE2-SS/user_socket/2,socket,user,orders,,egcda,0,[],continuous_final,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-auth-service_cpu/2,cpu,ts-auth-service,ts-basic-service,,shortcut,0,"[""ts-basic-service"", ""ts-ticketinfo-service"", ""ts-seat-service"", ""ts-travel-service"", ""ts-station-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-auth-service_cpu/3,cpu,ts-auth-service,ts-station-service,2,shortcut,1,"[""ts-station-service"", ""ts-auth-service"", ""ts-consign-service"", ""ts-ui-dashboard"", ""ts-inside-payment-service""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Train Ticket,RE2-TT/ts-auth-service_loss/2,loss,ts-auth-service,ts-admin-order-service,,shortcut,0,"[""ts-admin-order-service"", ""ts-admin-route-service"", ""ts-cancel-service"", ""ts-security-service"", ""ts-travel-plan-service""]",lightweight_ivd_fallback,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-auth-service_loss/3,loss,ts-auth-service,ts-seat-service,4,shortcut,1,"[""ts-seat-service"", ""ts-contacts-service"", ""ts-price-service"", ""ts-auth-service"", ""ts-preserve-service""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected a network/latency symptom without full trace-direction checks,missing_trace_direction,IVD shortcut over-trusted propagation surface signals
RE2,Train Ticket,RE2-TT/ts-auth-service_mem/2,mem,ts-auth-service,ts-config-service,,shortcut,0,"[""ts-config-service"", ""ts-route-service"", ""ts-train-service"", ""ts-admin-basic-info-service"", ""ts-travel2-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-auth-service_socket/1,socket,ts-auth-service,ts-price-service,2,shortcut,1,"[""ts-price-service"", ""ts-auth-service"", ""ts-execute-service"", ""ts-route-plan-service"", ""ts-route-service""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Train Ticket,RE2-TT/ts-auth-service_socket/2,socket,ts-auth-service,ts-order-service,2,shortcut,1,"[""ts-order-service"", ""ts-auth-service"", ""ts-food-map-service"", ""ts-admin-user-service"", ""ts-assurance-service""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Train Ticket,RE2-TT/ts-order-service_cpu/3,cpu,ts-order-service,ts-contacts-service,2,shortcut,1,"[""ts-contacts-service"", ""ts-order-service"", ""ts-station-service"", ""ts-admin-basic-info-service"", ""ts-config-service""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Train Ticket,RE2-TT/ts-order-service_delay/1,delay,ts-order-service,ts-security-service,,shortcut,0,"[""ts-security-service"", ""ts-seat-service"", ""ts-inside-payment-service"", ""ts-contacts-service"", ""ts-travel-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-order-service_delay/2,delay,ts-order-service,ts-inside-payment-service,,shortcut,0,"[""ts-inside-payment-service"", ""ts-basic-service"", ""ts-food-map-service"", ""ts-consign-price-service"", ""ts-consign-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-order-service_delay/3,delay,ts-order-service,ts-auth-service,,shortcut,0,"[""ts-auth-service"", ""ts-config-service"", ""ts-assurance-service"", ""ts-travel2-service"", ""ts-inside-payment-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-order-service_loss/2,loss,ts-order-service,ts-auth-service,,shortcut,0,"[""ts-auth-service"", ""ts-inside-payment-service"", ""ts-consign-price-service"", ""ts-admin-basic-info-service"", ""ts-station-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-route-service_cpu/1,cpu,ts-route-service,ts-travel-service,2,shortcut,1,"[""ts-travel-service"", ""ts-route-service"", ""ts-travel2-service"", ""ts-ticketinfo-service"", ""ts-train-service""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Train Ticket,RE2-TT/ts-route-service_cpu/2,cpu,ts-route-service,ts-price-service,,shortcut,0,"[""ts-price-service"", ""ts-inside-payment-service"", ""ts-admin-basic-info-service"", ""ts-admin-route-service"", ""ts-contacts-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-route-service_delay/1,delay,ts-route-service,ts-travel2-service,2,shortcut,1,"[""ts-travel2-service"", ""ts-route-service"", ""ts-order-service"", ""ts-travel-service"", ""ts-basic-service""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected a network/latency symptom without full trace-direction checks,missing_trace_direction,IVD shortcut over-trusted propagation surface signals
RE2,Train Ticket,RE2-TT/ts-route-service_delay/3,delay,ts-route-service,ts-order-service,,shortcut,0,"[""ts-order-service"", ""ts-basic-service"", ""ts-food-service"", ""ts-admin-basic-info-service"", ""ts-admin-travel-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-route-service_loss/3,loss,ts-route-service,ts-admin-travel-service,,shortcut,0,"[""ts-admin-travel-service"", ""ts-price-service"", ""ts-auth-service"", ""ts-admin-order-service"", ""ts-cancel-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-route-service_mem/3,mem,ts-route-service,ts-price-service,,shortcut,0,"[""ts-price-service"", ""ts-order-other-service"", ""ts-food-service"", ""ts-auth-service"", ""ts-inside-payment-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-route-service_socket/3,socket,ts-route-service,ts-auth-service,,shortcut,0,"[""ts-auth-service"", ""ts-admin-order-service"", ""ts-admin-user-service"", ""ts-cancel-service"", ""ts-contacts-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-train-service_cpu/1,cpu,ts-train-service,ts-price-service,,shortcut,0,"[""ts-price-service"", ""ts-ticketinfo-service"", ""ts-config-service"", ""ts-seat-service"", ""ts-basic-service""]",lightweight_ivd_fallback,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-train-service_cpu/3,cpu,ts-train-service,ts-seat-service,,shortcut,0,"[""ts-seat-service"", ""ts-station-service"", ""ts-auth-service"", ""ts-travel2-service"", ""ts-inside-payment-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-train-service_delay/2,delay,ts-train-service,ts-price-service,,shortcut,0,"[""ts-price-service"", ""ts-seat-service"", ""ts-auth-service"", ""ts-basic-service"", ""ts-admin-route-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-train-service_disk/1,disk,ts-train-service,ts-price-service,,shortcut,0,"[""ts-price-service"", ""ts-contacts-service"", ""ts-food-service"", ""ts-inside-payment-service"", ""ts-admin-user-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-train-service_loss/3,loss,ts-train-service,ts-assurance-service,,shortcut,0,"[""ts-assurance-service"", ""ts-admin-basic-info-service"", ""ts-consign-service"", ""ts-seat-service"", ""ts-travel-plan-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-train-service_mem/1,mem,ts-train-service,ts-payment-service,,shortcut,0,"[""ts-payment-service"", ""ts-consign-service"", ""ts-basic-service"", ""ts-admin-basic-info-service"", ""ts-admin-route-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-train-service_mem/2,mem,ts-train-service,ts-price-service,,shortcut,0,"[""ts-price-service"", ""ts-config-service"", ""ts-food-map-service"", ""ts-notification-service"", ""ts-order-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-train-service_mem/3,mem,ts-train-service,ts-admin-travel-service,,shortcut,0,"[""ts-admin-travel-service"", ""ts-execute-service"", ""ts-admin-user-service"", ""ts-auth-service"", ""ts-config-service""]",lightweight_ivd_fallback,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-travel-service_cpu/1,cpu,ts-travel-service,ts-contacts-service,2,shortcut,1,"[""ts-contacts-service"", ""ts-travel-service"", ""ts-admin-order-service"", ""ts-travel-plan-service"", ""ts-inside-payment-service""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Train Ticket,RE2-TT/ts-travel-service_cpu/2,cpu,ts-travel-service,ts-seat-service,2,shortcut,1,"[""ts-seat-service"", ""ts-travel-service"", ""ts-auth-service"", ""ts-inside-payment-service"", ""ts-preserve-other-service""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Train Ticket,RE2-TT/ts-travel-service_cpu/3,cpu,ts-travel-service,ts-config-service,4,shortcut,1,"[""ts-config-service"", ""ts-food-map-service"", ""ts-ticketinfo-service"", ""ts-travel-service"", ""ts-auth-service""]",lightweight_ivd_fallback,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Train Ticket,RE2-TT/ts-travel-service_delay/1,delay,ts-travel-service,ts-seat-service,3,shortcut,1,"[""ts-seat-service"", ""ts-config-service"", ""ts-travel-service"", ""ts-preserve-service"", ""ts-security-service""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected a network/latency symptom without full trace-direction checks,missing_trace_direction,IVD shortcut over-trusted propagation surface signals
RE2,Train Ticket,RE2-TT/ts-travel-service_delay/2,delay,ts-travel-service,ts-route-service,,shortcut,0,"[""ts-route-service"", ""ts-seat-service"", ""ts-train-service"", ""ts-admin-travel-service"", ""ts-order-service""]",lightweight_ivd_fallback,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-travel-service_loss/1,loss,ts-travel-service,ts-order-other-service,2,shortcut,1,"[""ts-order-other-service"", ""ts-travel-service"", ""ts-inside-payment-service"", ""ts-execute-service"", ""ts-admin-route-service""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected a network/latency symptom without full trace-direction checks,missing_trace_direction,IVD shortcut over-trusted propagation surface signals
RE2,Train Ticket,RE2-TT/ts-travel-service_loss/2,loss,ts-travel-service,ts-contacts-service,,shortcut,0,"[""ts-contacts-service"", ""ts-assurance-service"", ""ts-admin-travel-service"", ""ts-order-other-service"", ""ts-admin-basic-info-service""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-travel-service_socket/1,socket,ts-travel-service,ts-admin-basic-info-service,,shortcut,0,"[""ts-admin-basic-info-service"", ""ts-order-service"", ""ts-config-service"", ""ts-consign-service"", ""ts-ticketinfo-service""]",lightweight_ivd_fallback,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Train Ticket,RE2-TT/ts-travel-service_socket/2,socket,ts-travel-service,ts-travel2-service,3,shortcut,1,"[""ts-travel2-service"", ""ts-order-other-service"", ""ts-travel-service"", ""ts-admin-basic-info-service"", ""ts-preserve-service""]",lightweight_ivd_fallback,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Train Ticket,RE2-TT/ts-travel-service_socket/3,socket,ts-travel-service,ts-auth-service,,shortcut,0,"[""ts-auth-service"", ""ts-admin-route-service"", ""ts-admin-user-service"", ""ts-execute-service"", ""ts-food-map-service""]",lightweight_ivd_fallback,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
